name,dim,depth,heads,mlp_dim,avg_test_loss,test_accuracy
vit_6_1_6_12,6,1,6,12,0.5536,82.58%
vit_6_2_6_12,6,2,6,12,0.3571,89.16%
vit_6_4_6_12,6,4,6,12,0.3386,90.20%
vit_12_1_6_12,12,1,6,12,0.2820,91.02%
vit_12_2_6_12,12,2,6,12,0.1738,94.79%
vit_12_4_6_12,12,4,6,12,0.1401,95.61%
vit_18_1_6_12,18,1,6,12,0.2401,92.63%
vit_18_2_6_12,18,2,6,12,0.1339,95.79%
vit_18_4_6_12,18,4,6,12,0.1512,95.18%
vit_24_1_6_12,24,1,6,12,0.1966,93.77%
vit_24_2_6_12,24,2,6,12,0.1224,96.24%
vit_24_4_6_12,24,4,6,12,0.1159,96.30%
