Metric,Value
Name,.\Experiments\Track_k_e_2\track_k_e_2_r2_c6
Exp,track_k_e_2_r2_c6
Rep,2
Num Enc,1
Num Dec,0
Num Res,2
Num LN,2
Num AVGP,0
Num Dense,4
Num ReLu,2
Config File,.\data\toy_track_k_enc_config_2.json
Model,.\trained_transformer\TNN_traj_enc_2.keras
TNN Out Expected,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]"
Activated Bounds/Cuts,"{'LN_var': 0, 'LN_mean': 0, 'LN_num': 0, 'LN_num_squ': 0, 'LN_denom': 0, 'LN_num_squ_sum': 0, 'MHA_Q': 0, 'MHA_K': 0, 'MHA_V': 0, 'MHA_attn_weight_sum': 1, 'MHA_attn_weight': 1, 'MHA_compat': 0, 'MHA_compat_exp': 0, 'MHA_compat_exp_sum': 0, 'MHA_QK_MC': 0, 'MHA_WK_MC': 0, 'MHA_attn_score': 0, 'MHA_output': 0, 'RES_var': 0, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out,"[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]"
Enc Seq Len,2
Pred Len,1
Overlap,1
TNN Model Dims,2
TNN Head Dims,4
TNN Head Size,1
TNN Input Dim,2
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),21600.0
Num Threads,0
Num Vars,412
Num Constraints,242
Num Cont Vars,408
Num Int Vars,0
Num Bin Vars,4
Run Time (s),4.125999927520752
Run Time (wu),1.7528262131292767
Num Iters,206458.0
Num Nodes Expl,7511.0
Num Solns,9
Opt Gap,0.0
Obj Value,0.0030628480586145385
RNR Obj Value,0.0030628480586145385
RNR Iters,0
