Metric,Value
Name,.\Experiments\Verification_16_eps0.0001_2\vit_6_1_6_12_i4_r1_c3
Exp,vit_6_1_6_12_i4_r1_c3
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[ -2.89828515  -4.77051353   0.21959895   5.50090408  -2.45135593
   4.09154987 -16.54577255   7.73405075  -0.10388806   3.58772445]"
max purturb,9.999934108859449e-05
min purturb,0.0
TNN Out,"[ -2.90466255  -4.76167864   0.21640715   5.49856344  -2.4502356
   4.08773748 -16.54806879   7.73673041  -0.10547833   3.58931763]"
Enc Seq Len,1
TNN Model Dims,6
TNN Head Dims,1
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,2535
Num Constraints,1605
Num Cont Vars,2385
Num Int Vars,0
Num Bin Vars,150
Run Time (s),15.530999898910522
Run Time (wu),11.136067401061553
Num Iters,101696.0
Num Nodes Expl,2404.0
Num Solns,1
Opt Gap,3.778366760557896e-06
Obj Value,-12.498409052954411
RNR Obj Value,-12.498361829381086
RNR Iters,0
