Metric,Value
Name,.\Experiments\Verification_16_eps0.0001\vit_18_1_6_12_i4_r1_c4
Exp,vit_18_1_6_12_i4_r1_c4
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-4.97076368 -6.21756411 -0.53275406  2.92568779 -3.46080613 -0.27169585
 -9.67753029 10.54194927 -0.71739691  2.29158926]"
TNN Out,"[-4.97980779 -6.21254985 -0.53219911  2.92494884 -3.45770201 -0.26727764
 -9.67937026 10.54149264 -0.7140013   2.28810466]"
Enc Seq Len,1
TNN Model Dims,18
TNN Head Dims,3
TNN Head Size,6
TNN Input Dim,16
max purturb,9.999945423180477e-05
min purturb,0.0
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,6291
Num Constraints,5391
Num Cont Vars,6141
Num Int Vars,0
Num Bin Vars,150
Run Time (s),171.72800016403198
Run Time (wu),135.97862470788604
Num Iters,474246.0
Num Nodes Expl,4370.0
Num Solns,1
Opt Gap,1.0124423970835034e-05
Obj Value,-16.75404249482101
RNR Obj Value,-16.753872869791568
RNR Iters,0
