name,dim,depth,heads,mlp_dim,avg_test_loss,test_accuracy
vit_18_1_6_12,18,1,6,12,0.1521,95.40%
vit_18_1_6_24,18,1,6,24,0.1433,95.85%
vit_18_1_6_32,18,1,6,32,0.1442,95.46%
vit_18_1_6_64,18,1,6,64,0.1158,96.53%
vit_18_2_6_12,18,2,6,12,0.1070,96.77%
vit_18_2_6_24,18,2,6,24,0.0968,96.90%
vit_18_2_6_32,18,2,6,32,0.1084,96.73%
vit_18_2_6_64,18,2,6,64,0.0894,97.22%
vit_18_4_6_12,18,4,6,12,0.1070,96.65%
vit_18_4_6_24,18,4,6,24,0.0942,96.85%
