input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,2,4,1,[128],0,0,0.2,200,64,0.001,0.012629822310131177,0.008852410514027914,0.04041285915925122,0.0027139101531053803,0.028205845383031978,0.3165689111724168,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",5,4,4,1,[128],0,0,0.2,200,64,0.001,1.0275124581220634e-05,0.00026626368516826,0.038891076250440575,1.774996283834247e-05,0.00018140233153472418,0.06695299512233022,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",5,4,10,1,[128],0,0,0.2,200,64,0.001,0.0001533217121174724,0.0008583991422285284,0.03522470037109466,0.00020957103091613565,0.002189601463742035,0.1387651846527123,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,3,4,1,[128],0,0,0.2,200,64,0.001,0.000713085522474783,0.013635682881570892,0.07742478517645049,0.0006819721033507558,0.00859960762829519,0.10213582568971578,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,4,4,1,[110],0,0,0.2,200,64,0.001,7.669014428686436e-05,0.0016315346341305382,0.11840502758832043,0.00019552860485051146,0.004113704384213393,0.21901373713951372,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(2, 1, 10)",10,4,4,1,[128],0,0,0.2,200,64,0.001,0.000898152863050343,0.0035937867631650315,0.011527784401972082,0.0006470889404694912,0.0005200991065830165,0.07450601862953243,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(2, 1, 10)",10,5,4,1,[128],0,0,0.2,200,64,0.001,0.00036749233293354756,0.00252913753846414,0.03036202278921507,0.0005441911656044542,0.003893847931006358,0.05913249008305759,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.25,0.25,0.2,200,64,0.001,0.209900400815363,0.14272851596041125,0.27808194106642437,0.22151588786773818,0.17869898266789644,0.37852378855513985,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.25,0.25,0.2,200,64,0.001,0.22129767568192993,0.16026236067571464,0.30388480627130643,0.20225215922601522,0.15209605829340686,0.3211287553320363,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.25,0.25,0.2,200,64,0.001,0.01172888432615619,0.01948496669926682,0.019843067816520586,0.46078207557477857,0.29076418018744926,0.26848935753404474,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.1,0.1,0.2,200,64,0.001,0.0038314308126018767,0.01014159386385372,0.004872849519954773,0.01502582212262344,0.008447500423302471,0.016207325439597842,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.1,0.1,0.2,200,64,0.001,0.005348832501943066,0.007184461501750379,0.03953908126939714,0.008655014189723191,0.004506431452733457,0.022099338278564255,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[32],0.1,0.1,0.2,200,64,0.001,0.01271313050021743,0.021658192703214757,0.06924311597381509,0.006454159610412426,0.017210383491764254,0.08570628708874917,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.1,0.1,0.2,200,64,0.001,0.0060137500500679975,0.006136993485926981,0.03902866388008883,0.0022959386718455657,0.004397156431498888,0.020793427115548924,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.1,0.1,0.2,200,64,0.001,0.005572782388924577,0.010064312472765723,0.0840573864000724,0.007362150386280646,0.012273901803320898,0.16623576281293925,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,transformer_small_copy_TOY.keras
"(10, 2)",10,5,4,1,[128],0.1,0.1,0.2,200,64,0.001,0.0017605035710442063,0.00890756676618815,0.05983330453834398,0.003172686782833164,0.01045994426590632,0.03979361377031347,
