Metric,Value
Name,.\Experiments\Track_k_e\track_k_e_r1_c32
Exp,track_k_e_r1_c32
Rep,1
Num Enc,1
Num Dec,0
Num Res,2
Num LN,2
Num AVGP,0
Num Dense,4
Num ReLu,2
Config File,.\data\toy_track_k_enc_config_2.json
Model,.\trained_transformer\TNN_traj_enc_2.keras
TNN Out Expected,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]"
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out,"[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]"
Enc Seq Len,2
Pred Len,1
Overlap,1
TNN Model Dims,2
TNN Head Dims,4
TNN Head Size,1
TNN Input Dim,2
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),21600.0
Num Threads,0
Num Vars,462
Num Constraints,248
Num Cont Vars,458
Num Int Vars,0
Num Bin Vars,4
Run Time (s),3643.1429998874664
Run Time (wu),1952.3043529835513
Num Iters,333227275.0
Num Nodes Expl,12328385.0
Num Solns,10
Opt Gap,2.3963734609041363e-05
Obj Value,0.00021897325121610946
RNR Obj Value,0.00021896800379923084
RNR Iters,0
