time,x1,x2,ID
0.0,0.0,0.0,1.0
0.10204081632653061,0.49952412440339644,-4.024611869917283,1.0
0.20408163265306123,0.9990482488067929,-17.859223739834565,1.0
0.30612244897959184,1.4985723732101892,-41.503835609751846,1.0
0.40816326530612246,1.9980964976135858,-74.95844747966913,1.0
0.5102040816326531,2.4976206220169823,-118.22305934958644,1.0
0.6122448979591837,2.9971447464203784,-171.29767121950368,1.0
0.7142857142857143,3.496668870823775,-234.182283089421,1.0
0.8163265306122449,3.9961929952271715,-306.8768949593383,1.0
0.9183673469387755,4.495717119630568,-389.38150682925556,1.0
1.0204081632653061,4.995241244033965,-481.69611869917287,1.0
1.1224489795918369,5.494765368437361,-583.8207305690902,1.0
1.2244897959183674,5.994289492840757,-695.7553424390073,1.0
1.3265306122448979,6.493813617244154,-817.4999543089248,1.0
1.4285714285714286,6.99333774164755,-949.0545661788419,1.0
1.5306122448979593,7.492861866050947,-1090.4191780487592,1.0
1.6326530612244898,7.992385990454343,-1241.5937899186765,1.0
1.7346938775510203,8.49191011485774,-1402.578401788594,1.0
1.836734693877551,8.991434239261135,-1573.3730136585111,1.0
1.9387755102040818,9.490958363664532,-1753.9776255284285,1.0
2.0408163265306123,9.99048248806793,-1944.392237398346,1.0
2.142857142857143,10.490006612471324,-2144.6168492682627,1.0
2.2448979591836737,10.989530736874721,-2354.651461138181,1.0
2.3469387755102042,11.489054861278118,-2574.496073008098,1.0
2.4489795918367347,11.988578985681514,-2804.1506848780145,1.0
2.5510204081632653,12.48810311008491,-3043.615296747932,1.0
2.6530612244897958,12.987627234488308,-3292.8899086178494,1.0
2.7551020408163267,13.487151358891705,-3551.9745204877663,1.0
2.857142857142857,13.9866754832951,-3820.869132357684,1.0
2.9591836734693877,14.486199607698497,-4099.573744227601,1.0
3.0612244897959187,14.985723732101894,-4388.088356097518,1.0
3.163265306122449,15.48524785650529,-4686.412967967436,1.0
3.2653061224489797,15.984771980908686,-4994.547579837354,1.0
3.36734693877551,16.484296105312083,-5312.492191707271,1.0
3.4693877551020407,16.98382022971548,-5640.246803577188,1.0
3.5714285714285716,17.483344354118877,-5977.811415447105,1.0
3.673469387755102,17.98286847852227,-6325.186027317022,1.0
3.7755102040816326,18.482392602925668,-6682.37063918694,1.0
3.8775510204081636,18.981916727329065,-7049.365251056857,1.0
3.979591836734694,19.48144085173246,-7426.169862926775,1.0
4.081632653061225,19.98096497613586,-7812.784474796692,1.0
4.183673469387755,20.480489100539256,-8209.20908666661,1.0
4.285714285714286,20.98001322494265,-8615.443698536526,1.0
4.387755102040816,21.479537349346046,-9031.488310406445,1.0
4.4897959183673475,21.979061473749443,-9457.342922276363,1.0
4.591836734693878,22.47858559815284,-9893.00753414628,1.0
4.6938775510204085,22.978109722556237,-10338.482146016197,1.0
4.795918367346939,23.477633846959634,-10793.766757886113,1.0
4.8979591836734695,23.977157971363027,-11258.861369756029,1.0
5.0,24.476682095766424,-11733.765981625947,1.0
0.0,0.0,0.0,2.0
0.10204081632653061,0.23430999646851935,-3.592190751956465,2.0
0.20408163265306123,0.4686199929370387,-16.99438150391293,2.0
0.30612244897959184,0.7029299894055581,-40.20657225586939,2.0
0.40816326530612246,0.9372399858740774,-73.22876300782586,2.0
0.5102040816326531,1.1715499823425968,-116.06095375978234,2.0
0.6122448979591837,1.4058599788111161,-168.70314451173877,2.0
0.7142857142857143,1.6401699752796355,-231.15533526369526,2.0
0.8163265306122449,1.8744799717481548,-303.41752601565173,2.0
0.9183673469387755,2.108789968216674,-385.4897167676082,2.0
1.0204081632653061,2.3430999646851935,-477.37190751956473,2.0
1.1224489795918369,2.577409961153713,-579.0640982715212,2.0
1.2244897959183674,2.8117199576222323,-690.5662890234776,2.0
1.3265306122448979,3.0460299540907516,-811.8784797754341,2.0
1.4285714285714286,3.280339950559271,-943.0006705273905,2.0
1.5306122448979593,3.5146499470277903,-1083.932861279347,2.0
1.6326530612244898,3.7489599434963097,-1234.6750520313035,2.0
1.7346938775510203,3.983269939964829,-1395.22724278326,2.0
1.836734693877551,4.217579936433348,-1565.5894335352164,2.0
1.9387755102040818,4.451889932901867,-1745.761624287173,2.0
2.0408163265306123,4.686199929370387,-1935.7438150391295,2.0
2.142857142857143,4.920509925838907,-2135.5360057910857,2.0
2.2448979591836737,5.154819922307426,-2345.138196543043,2.0
2.3469387755102042,5.389129918775945,-2564.550387294999,2.0
2.4489795918367347,5.6234399152444645,-2793.772578046955,2.0
2.5510204081632653,5.857749911712984,-3032.8047687989115,2.0
2.6530612244897958,6.092059908181503,-3281.6469595508684,2.0
2.7551020408163267,6.326369904650022,-3540.2991503028243,2.0
2.857142857142857,6.560679901118542,-3808.761341054781,2.0
2.9591836734693877,6.794989897587062,-4087.0335318067378,2.0
3.0612244897959187,7.029299894055581,-4375.115722558694,2.0
3.163265306122449,7.2636098905240996,-4673.00791331065,2.0
3.2653061224489797,7.497919886992619,-4980.710104062608,2.0
3.36734693877551,7.732229883461139,-5298.222294814564,2.0
3.4693877551020407,7.966539879929658,-5625.54448556652,2.0
3.5714285714285716,8.200849876398177,-5962.676676318476,2.0
3.673469387755102,8.435159872866697,-6309.618867070433,2.0
3.7755102040816326,8.669469869335217,-6666.37105782239,2.0
3.8775510204081636,8.903779865803735,-7032.933248574346,2.0
3.979591836734694,9.138089862272254,-7409.305439326303,2.0
4.081632653061225,9.372399858740774,-7795.48763007826,2.0
4.183673469387755,9.606709855209294,-8191.479820830215,2.0
4.285714285714286,9.841019851677814,-8597.282011582172,2.0
