9000,"[8997, 8998]",[],[],
9000,"[8997, 8998]",[],[],
9000,"[8997, 8998]",[],[],
9000,"[8997, 8998]",[],[],
9000,"[8997, 8998]","[2.120084459459149, 2.119631387038805]","[3.5, 3.5]",
9000,"[8997, 8998]",[],[],
9000,"[8997, 8998]",[],[],
9000,"[8997, 8998]",[],[],
90000,"[89997, 89998]",[],[],
90000,"[89997, 89998]",[],[],
90000,[],[0.0],[3.5],
90000,[],[],[],
90000,[89998],[],[],
90000,[89998],[0.0],[3.5],
90000,[89998],[0.0],[3.5],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[],[],
90000,[89998],[0.0],[7.0],
90000,[89998],[0.0],[7.0],
90000,[89998],[0.0],[4.0],
9000,"[8997, 8998]","[2.1236112651408794, 2.1237501109014087, 2.1238889628176616, 2.1240278208916887, 2.124166685125542, 2.1243055555212735, 2.1244444320809364, 2.1245833148065847, 2.120084459459149, 2.1196313829394464]","[0.4994449994449994, 0.4995004440497336, 0.49955590096591546, 0.499611370197646, 0.49966685174902825, 0.4997223456241671, 0.4997778518271688, 0.4998333703621417, 0.4953345150147057, 0.4948814384950033]",
9000,"[8997, 8998]","[[2.1236112651408794, 2.1237501109014087, 2.1238889628176616, 2.1240278208916887, 2.124166685125542, 2.1243055555212735, 2.1244444320809364, 2.1245833148065847, 2.120084459459149, 2.1196313829394464]]","[[0.4994449994449994, 0.4995004440497336, 0.49955590096591546, 0.499611370197646, 0.49966685174902825, 0.4997223456241671, 0.4997778518271688, 0.4998333703621417, 0.4953345150147057, 0.4948814384950033]]",
9000,"[8997, 8998]","[[2.1236112651408794, 2.1237501109014087, 2.1238889628176616, 2.1240278208916887, 2.124166685125542, 2.1243055555212735, 2.1244444320809364, 2.1245833148065847, 2.120084459459149, 2.1196313829394464]]","[[0.4994449994449994, 0.4995004440497336, 0.49955590096591546, 0.499611370197646, 0.49966685174902825, 0.4997223456241671, 0.4997778518271688, 0.4998333703621417, 0.4953345150147057, 0.4948814384950033]]",
9000,"[8997, 8998]","[[2.1236112651408794, 2.1237501109014087, 2.1238889628176616, 2.1240278208916887, 2.124166685125542, 2.1243055555212735, 2.1244444320809364, 2.1245833148065847, 2.120084459459149, 2.1196313829394464]]","[[0.4994449994449994, 0.4995004440497336, 0.49955590096591546, 0.499611370197646, 0.49966685174902825, 0.4997223456241671, 0.4997778518271688, 0.4998333703621417, 0.4953345150147057, 0.4948814384950033]]",
9000,"[8997, 8998]","[[2.1236112651408794, 2.1237501109014087, 2.1238889628176616, 2.1240278208916887, 2.124166685125542, 2.1243055555212735, 2.1244444320809364, 2.1245833148065847, 2.120084459459149, 2.1196313829394464]]","[[0.4994449994449994, 0.4995004440497336, 0.49955590096591546, 0.499611370197646, 0.49966685174902825, 0.4997223456241671, 0.4997778518271688, 0.4998333703621417, 0.4953345150147057, 0.4948814384950033]]",
